timestamp_sec,direction,type,val1,val2,val3,val4,val5,val6
1773038703.724333,RX,IMU,-804,52,17984,-293,151,22
1773038703.742217,RX,ODOM,0,0,,,,
1773038703.744194,RX,IMU,-872,-4,17832,-299,168,38
1773038703.762134,RX,ODOM,0,0,,,,
1773038703.764108,RX,IMU,-848,-132,17972,-282,122,28
1773038703.782054,RX,ODOM,0,0,,,,
1773038703.783961,RX,IMU,-876,-176,17876,-288,138,10
1773038703.801966,RX,ODOM,0,0,,,,
1773038703.803931,RX,IMU,-1052,-104,17976,-299,136,34
1773038703.821998,RX,ODOM,0,0,,,,
1773038703.823817,RX,IMU,-1044,-4,17972,-297,153,22
1773038703.841912,RX,ODOM,0,0,,,,
1773038703.843697,RX,IMU,-872,-120,17972,-292,179,21
1773038703.861684,RX,ODOM,0,0,,,,
1773038703.863663,RX,IMU,-800,-88,17960,-295,133,24
1773038703.881648,RX,ODOM,0,0,,,,
1773038703.883556,RX,IMU,-908,-200,18000,-296,132,20
1773038703.901507,RX,ODOM,0,0,,,,
1773038703.921488,RX,ODOM,0,0,,,,
1773038703.923333,RX,IMU,-932,-60,18116,-302,138,7
1773038703.941425,RX,ODOM,0,0,,,,
1773038703.943244,RX,IMU,-888,-36,18012,-285,130,16
1773038703.961265,RX,ODOM,0,0,,,,
1773038703.963217,RX,IMU,-828,-56,17956,-286,143,14
1773038703.981181,RX,ODOM,0,0,,,,
1773038703.983024,RX,IMU,-848,-84,17984,-284,155,40
1773038704.001129,RX,ODOM,0,0,,,,
1773038704.002912,RX,IMU,-836,-232,17924,-289,125,33
1773038704.021075,RX,ODOM,0,0,,,,
1773038704.022863,RX,IMU,-928,-148,17948,-311,144,27
1773038704.040930,RX,ODOM,0,0,,,,
1773038704.042721,RX,IMU,-932,24,17900,-320,132,30
1773038704.060755,RX,ODOM,0,0,,,,
1773038704.062714,RX,IMU,-908,20,17984,-298,141,30
1773038704.080702,RX,ODOM,0,0,,,,
1773038704.082661,RX,IMU,-812,-92,18044,-284,135,30
1773038704.100611,RX,ODOM,0,0,,,,
1773038704.102554,RX,IMU,-780,-280,17960,-306,109,35
1773038704.120513,RX,ODOM,0,0,,,,
1773038704.122332,RX,IMU,-936,-124,17924,-289,144,15
1773038704.140493,RX,ODOM,0,0,,,,
1773038704.142276,RX,IMU,-976,-32,17940,-307,123,11
1773038704.160405,RX,ODOM,0,0,,,,
1773038704.162192,RX,IMU,-928,68,17968,-286,145,17
1773038704.180259,RX,ODOM,0,0,,,,
1773038704.182071,RX,IMU,-724,-76,17900,-301,163,60
1773038704.200151,RX,ODOM,0,0,,,,
1773038704.201988,RX,IMU,-820,-252,17996,-281,136,42
1773038704.220020,RX,ODOM,0,0,,,,
1773038704.221988,RX,IMU,-936,-216,18052,-314,133,6
1773038704.239958,RX,ODOM,0,0,,,,
1773038704.241913,RX,IMU,-996,-16,18056,-315,136,27
1773038704.259939,RX,ODOM,0,0,,,,
1773038704.261729,RX,IMU,-828,60,17972,-288,145,39
